FID,OBJECTID,NAME,EASTING,NORTHING,LINES,NETWORK,Zone,x,y
88,38,Queen's Park,524547,183200,Bakerloo,London Underground,2,-0.204142926,51.53347212
200,376,Queens Park,524619,183223,n/a,London Overground,2,-0.203104045,51.53366092
149,147,Queens Road Peckham,535011,176751,n/a,London Overground,2,-0.055827609,51.47310519
340,256,Queensbury,518809,189763,Jubilee,London Underground,4,-0.284629817,51.59369962
24,119,Queensway,525903,180594,Central,London Underground,1,-0.185538472,51.50974305
101,240,Ravenscourt Park,522571,178722,District,London Underground,2,-0.234181724,51.49365752
395,279,Rayners Lane,512953,187515,"Metropolitan, Piccadilly",London Underground,5,-0.369864752,51.57469667
150,148,Rectory Road,534011,186171,n/a,London Overground,2,-0.066636749,51.55800392
317,58,Redbridge,541834,188358,Central,London Underground,4,0.047039301,51.5757446
411,409,Reeves Corner,531903,165672,n/a,Tramlink,5,-0.104688108,51.37426316
52,237,Regent's Park,528699,182113,Bakerloo,London Underground,1,-0.144708117,51.52277011
336,225,Richmond,518077,175161,District,London Underground,4,-0.300084253,51.46260595
379,369,Richmond,518072,175174,n/a,London Overground,4,-0.30015416,51.46271961
460,323,Rickmansworth,505716,194601,Metropolitan,London Underground,7,-0.472133393,51.63979883
324,65,Roding Valley,541590,192895,Central,London Underground,4,0.045340184,51.61657815
447,149,Romford,551387,188501,n/a,London Overground,6,0.184863954,51.57454494
451,390,Romford,551350,188463,n/a,TfL Rail,6,0.184308898,51.57421472
91,191,Rotherhithe,535299,179811,n/a,London Overground,2,-0.050510094,51.50053752
281,444,Royal Albert,542077,180815,n/a,DLR,3,0.047489859,51.50789742
86,35,Royal Oak,525834,181571,"Hammersmith & City, Circle",London Underground,2,-0.186186162,51.51854003
282,445,Royal Victoria,540122,180852,n/a,DLR,3,0.019349595,51.50871834
443,274,Ruislip,509474,187004,"Metropolitan, Piccadilly",London Underground,6,-0.420215108,51.57079343
386,72,Ruislip Gardens,510266,185852,Central,London Underground,5,-0.409140537,51.56027575
444,275,Ruislip Manor,510160,187262,"Metropolitan, Piccadilly",London Underground,6,-0.410235646,51.57297789
29,18,Russell Square,530229,182128,Piccadilly,London Underground,1,-0.122662273,51.52255053
419,417,Sandilands,533890,165741,n/a,Tramlink,5,-0.07612476,51.37441486
356,387,Seven Kings,545454,187093,n/a,TfL Rail,4,0.098722803,51.5634541
205,116,Seven Sisters,533643,188931,Victoria,London Underground,3,-0.070894139,51.58289546
254,150,Seven Sisters,533458,189004,n/a,London Overground,3,-0.073533739,51.58359611
123,337,Shadwell,534932,180932,n/a,London Overground,2,-0.055365921,51.51070004
186,468,Shadwell DLR,534947,180986,n/a,DLR,2,-0.05512963,51.51118155
476,394,Shenfield,561361,194981,n/a,TfL Rail,0,0.331671253,51.6300009
73,106,Shepherd's Bush,523720,179884,Central,London Underground,2,-0.217238899,51.50384346
82,31,Shepherd's Bush Market,523197,180064,"Hammersmith & City, Circle",London Underground,2,-0.224700725,51.50558155
195,371,Shepherds Bush,523720,179920,n/a,London Overground,2,-0.217219888,51.50417089
60,339,Shoreditch High Street,533555,182248,n/a,London Overground,1,-0.074700292,51.52285471
351,159,Silver Street,533922,192445,n/a,London Overground,4,-0.065526104,51.61440848
53,238,Sloane Square,528091,178655,"District, Circle",London Underground,1,-0.15473274,51.49182524
314,55,Snaresbrook,540157,188804,Central,London Underground,4,0.023019902,51.58017276
294,350,South Acton,520148,179250,n/a,London Overground,3,-0.268894276,51.49891951
210,10,South Ealing,517575,179354,Piccadilly,London Underground,3,-0.305919519,51.50039136
190,351,South Hampstead,526369,184096,n/a,London Overground,2,-0.177570816,51.54111829
390,219,South Harrow,514321,186361,Piccadilly,London Underground,5,-0.350509518,51.56404932
20,98,South Kensington,526918,178820,"District, Piccadilly, Circle",London Underground,1,-0.171564291,51.49357736
341,257,South Kenton,517336,187060,Bakerloo,London Underground,4,-0.306785037,51.56971265
376,352,South Kenton,517316,187081,n/a,London Overground,4,-0.307068904,51.56990367
187,469,South Quay,537597,179824,n/a,DLR,2,-0.017414424,51.50009877
387,73,South Ruislip,511097,185434,Central,London Underground,5,-0.39728854,51.55635983
295,353,South Tottenham,533687,188621,n/a,London Overground,3,-0.070375895,51.58009969
227,209,South Wimbledon,525736,169989,Northern,London Underground,3,-0.191711278,51.41446924
319,60,South Woodford,540536,190063,Central,London Underground,4,0.028990141,51.59138934
406,151,Southbury,534904,196237,n/a,London Overground,5,-0.049888718,51.64825562
204,101,Southfields,524726,173313,District,London Underground,3,-0.205058529,51.4445635
311,23,Southgate,529676,194265,Piccadilly,London Underground,4,-0.126150933,51.6317626
62,288,Southwark,531592,180074,Jubilee,London Underground,1,-0.103788452,51.50377646
54,239,St. James's Park,529647,179498,"District, Circle",London Underground,1,-0.132021543,51.49905006
138,287,St. John's Wood,526735,183391,Jubilee,London Underground,2,-0.172545248,51.53469852
39,51,St. Paul's,532108,181274,Central,London Underground,1,-0.095907533,51.51444286
134,246,Stamford Brook,521859,178789,District,London Underground,2,-0.244408726,51.49440814
257,160,Stamford Hill,533392,187955,n/a,London Overground,3,-0.074878256,51.57418005
399,285,Stanmore,517563,192573,Jubilee,London Underground,5,-0.30167142,51.61921632
290,476,Star Lane,539145,182115,n/a,DLR,3,0.005780604,51.52030887
135,248,Stepney Green,535621,182136,"District, Hammersmith & City",London Underground,2,-0.044974603,51.52135166
94,208,Stockwell,530460,176433,"Northern, Victoria",London Underground,2,-0.121436641,51.47131386
152,161,Stoke Newington,533723,186850,n/a,London Overground,2,-0.070536111,51.56417453
247,260,Stonebridge Park,519616,184218,Bakerloo,London Underground,3,-0.27487576,51.54368887
296,354,Stonebridge Park,519687,184195,n/a,London Overground,3,-0.273853212,51.54346498
252,270,Stratford,538530,184395,"Central, Jubilee",London Underground,3,-0.002182514,51.54094802
266,382,Stratford,538530,184395,n/a,TfL Rail,3,-0.002182514,51.54094802
300,379,Stratford,538521,184409,n/a,London Overground,3,-0.002307264,51.54107928
289,475,Stratford,538571,184387,n/a,DLR,3,-0.001594174,51.54086921
292,478,Stratford High Street,538752,184020,n/a,DLR,3,0.000869889,51.53752645
293,479,Stratford International DLR,538128,184761,n/a,DLR,3,-0.007832275,51.54433906
307,8,Sudbury Hill,515412,185542,Piccadilly,London Underground,4,-0.335039246,51.55646384
308,9,Sudbury Town,516875,184890,Piccadilly,London Underground,4,-0.314159662,51.55030341
191,355,Surrey Quays,535631,178962,n/a,London Overground,2,-0.046055836,51.49282777
105,298,Swiss Cottage,526664,184335,Jubilee,London Underground,2,-0.173237239,51.54319998
243,347,Sydenham,535369,171585,n/a,London Overground,3,-0.052652564,51.42659082
0,78,Temple,530959,180803,"District, Circle",London Underground,1,-0.112643564,51.5104742
464,152,Theobalds Grove,535936,201110,n/a,London Overground,7,-0.033083485,51.69180047
364,405,Therapia Lane,530283,166842,n/a,Tramlink,4,-0.127515047,51.38515495
428,125,Theydon Bois,545542,199101,Central,London Underground,6,0.104967288,51.67133739
237,303,Tooting Bec,528047,172374,Northern,London Underground,3,-0.15763366,51.4353811
236,302,Tooting Broadway,527434,171443,Northern,London Underground,3,-0.166791248,51.42715702
56,309,Tottenham Court Road,529815,181382,"Central, Northern",London Underground,1,-0.128897348,51.51594793
207,118,Tottenham Hale,534484,189471,Victoria,London Underground,3,-0.058547162,51.58754655
345,266,Totteridge & Whetstone,526120,193989,Northern,London Underground,4,-0.177599794,51.63009248
66,470,Tower Gateway,533706,180834,n/a,DLR,1,-0.073061976,51.51011047
5,83,Tower Hill,533579,180755,"District, Circle",London Underground,1,-0.074913869,51.50943419
117,316,Tufnell Park,529149,185860,Northern,London Underground,2,-0.136858377,51.5563398
448,153,Turkey Street,535121,198870,n/a,London Overground,6,-0.045735795,51.67186641
244,247,Turnham Green,521266,178779,"District, Piccadilly",London Underground,3,-0.252958803,51.494448
219,192,Turnpike Lane,531513,189638,Piccadilly,London Underground,3,-0.101359413,51.58975112
435,199,Upminster,556146,186868,District,London Underground,6,0.252767235,51.55857711
449,154,Upminster,556108,186859,n/a,London Overground,6,0.25221358,51.55850315
433,30,Upminster Bridge,555088,186770,District,London Underground,6,0.237476635,51.55798569
327,76,Upney,545846,184254,District,London Underground,4,0.103187503,51.53784406
192,356,Upper Holloway,529776,186621,n/a,London Overground,2,-0.127532858,51.56303879
218,70,Upton Park,541254,183793,"District, Hammersmith & City",London Underground,3,0.036836325,51.53487026
440,271,Uxbridge,505661,184161,"Metropolitan, Piccadilly",London Underground,6,-0.4760666,51.54596187
76,113,Vauxhall,530337,177973,Victoria,London Underground,2,-0.122646146,51.48518446
21,110,Victoria,528999,179130,"District, Circle, Victoria",London Underground,1,-0.141485017,51.49588954
409,407,Waddon Marsh,531090,165897,n/a,Tramlink,5,-0.116278811,51.37647839
223,202,Walthamstow Central,537176,188994,Victoria,London Underground,3,-0.019895332,51.58261626
297,357,Walthamstow Queens Road,537018,188807,n/a,London Overground,3,-0.022254511,51.58097129
255,155,Walthamstow St James Street,536388,188733,n/a,London Overground,3,-0.031370968,51.58045909
350,156,Walthamstow Wood Street,538493,189407,n/a,London Overground,4,-0.000741221,51.58600285
410,408,Wandle Park,531414,165512,n/a,Tramlink,5,-0.111770014,51.37293871
151,157,Wandsworth Road,529390,176196,n/a,London Overground,2,-0.136926893,51.46943062
316,57,Wanstead,540673,188254,Central,London Underground,4,0.030247766,51.57509659
298,358,Wanstead Park,540570,185590,n/a,London Overground,3,0.027694662,51.55118604
193,359,Wapping,535023,180174,n/a,London Overground,2,-0.054345515,51.50386599
23,114,Warren Street,529249,182266,"Northern, Victoria",London Underground,1,-0.136735811,51.52401887
98,232,Warwick Avenue,526112,182039,Bakerloo,London Underground,2,-0.182005998,51.52269118
44,198,Waterloo,530968,179962,"Waterloo & City, Bakerloo, Northern, Jubilee",London Underground,1,-0.112818812,51.50291418
463,327,Watford,509569,196596,Metropolitan,London Underground,7,-0.415832512,51.65699167
468,360,Watford High Street,511326,196075,n/a,London Overground,8,-0.390612987,51.6519637
469,365,Watford Junction,511021,197351,n/a,London Overground,8,-0.394615064,51.6634936
414,412,Wellesley Road,532506,165769,n/a,Tramlink,5,-0.095978591,51.37499854
334,222,Wembley Central,518183,185085,Bakerloo,London Underground,4,-0.295237517,51.55177912
377,361,Wembley Central,518184,185126,n/a,London Overground,4,-0.295206549,51.55214998
338,252,Wembley Park,519316,186388,"Metropolitan, Jubilee",London Underground,4,-0.278458638,51.56325938
251,269,West Acton,519373,181296,Central,London Underground,3,-0.279364414,51.51747345
133,245,West Brompton,525381,178024,District,London Underground,2,-0.193973832,51.48676791
402,129,West Croydon,532133,166072,n/a,London Overground,5,-0.101229704,51.37780543
413,411,West Croydon (Tramlink),532210,166142,n/a,Tramlink,5,-0.100095218,51.37841469
344,265,West Finchley,525546,191627,Northern,London Underground,4,-0.186738929,51.60898928
222,201,West Ham,539131,182945,"District, Hammersmith & City, Jubilee",London Underground,3,0.00590508,51.52776913
288,474,WEST HAM - DLR,539182,182943,n/a,DLR,3,0.006640951,51.52774122
104,297,West Hampstead,525592,184653,Jubilee,London Underground,2,-0.188568627,51.54629707
194,362,West Hampstead,525579,184651,n/a,London Overground,2,-0.188759559,51.54628297
394,278,West Harrow,514200,188029,Metropolitan,London Underground,5,-0.351706569,51.57906815
188,471,West India Quay,537495,180586,n/a,DLR,2,-0.018586106,51.50697183
130,242,West Kensington,524685,178398,District,London Underground,2,-0.203860054,51.49027946
434,75,West Ruislip,508379,186796,Central,London Underground,6,-0.436073394,51.56913097
283,446,West Silvertown,540460,180156,n/a,DLR,3,0.023940282,51.50237959
87,36,Westbourne Park,524901,181756,"Hammersmith & City, Circle",London Underground,2,-0.199554267,51.52041239
189,472,Westferry,537023,180798,n/a,DLR,2,-0.025301528,51.50899182
42,195,Westminster,530196,179668,"District, Circle, Jubilee",London Underground,1,-0.124052209,51.50045311
197,373,Westompton,525397,178008,n/a,London Overground,2,-0.193747112,51.48661615
72,105,White City,523308,180748,Central,London Underground,2,-0.222866489,51.51170695
256,158,White Hart Lane,533693,191333,n/a,London Overground,3,-0.069256013,51.60447174
124,338,Whitechapel,534698,181851,n/a,London Overground,2,-0.05838503,51.51901529
136,250,Whitechapel,534645,181850,"District, Hammersmith & City",London Underground,2,-0.059154123,51.51902202
234,296,Willesden Green,523329,184883,Jubilee,London Underground,3,-0.221119357,51.54886838
248,261,Willesden Junction,521858,182960,Bakerloo,London Underground,3,-0.242978972,51.5318981
478,364,Willesden Junction,521879,182944,n/a,London Overground,0,-0.242688895,51.5317515
240,333,Wimbledon,524800,170684,District,London Underground,3,-0.204921053,51.42091587
269,396,Wimbledon (Tramlink),524838,170637,n/a,Tramlink,3,-0.204395752,51.42048966
203,100,Wimbledon Park,525282,172100,District,London Underground,3,-0.19749098,51.43353749
220,193,Wood Green,531015,190428,Piccadilly,London Underground,3,-0.108246806,51.5969712
121,334,Wood Lane,523374,180519,"Hammersmith & City, Circle",London Underground,2,-0.221994162,51.50963208
323,64,Woodford,540950,191740,Central,London Underground,4,0.035640856,51.60635963
477,363,Woodgrange Park,541821,185350,n/a,London Overground,0,0.045631091,51.54871611
424,427,Woodside,534701,167101,n/a,Tramlink,5,-0.063965962,51.38645328
343,264,Woodside Park,525718,192588,Northern,London Underground,4,-0.183907004,51.61758971
373,447,Woolwich Arsenal,543731,178811,n/a,DLR,4,0.070492592,51.48946942
